,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11
c_num_of_genes,-0.5716534629042154,-0.03677921886181294,-0.20163725071935878,-0.18787620870104005,0.07314758398308083,0.24627788774872864,-0.19774922940422238,0.14845665527856983,0.03660022415992269,0.00046303475455673385,-0.6836792103488691
c_len,-0.6037290146485454,-0.045343563573497496,-0.18094249665057457,-0.12783422456768553,0.090465474302653,0.17027515282481182,-0.08194161778532322,0.11022152603033973,0.10108817161321444,-0.0017920960723595575,0.7197989919168432
c_genelenm,-0.10833974101948987,0.30770359446965995,0.6200194192437011,-0.10750586166282924,-0.03794909671095499,0.026189839036204584,0.004462087139914246,0.01629838655516162,0.6870081258935352,-0.1482691311301095,-0.03498454529398734
c_genelensd,-0.21123922036996906,0.2887054534188264,0.5767762830888383,-0.16246900030552733,-0.034038257867139585,0.06598212966776155,-0.08144555848090361,-0.015519179970660891,-0.706253957686322,0.01798553828980571,0.03815095591391693
g_len,-0.02765196147222578,0.6143929410542777,-0.17981733622274404,0.2814101847721428,-0.017567550254130454,0.07350109251053415,-0.017089286740777948,-0.014970120368922687,0.07564185116446971,0.7058825717417389,-0.0034123490468330672
g_lendev_c,-0.008389251812597092,0.5657271049127945,-0.2979741948350402,0.31236055635043236,-0.012305118329462386,0.0770907428105923,-0.012292404603689418,-0.0038380606861093056,-0.08962861375023913,-0.692260634600005,0.0025334098202327332
g_abspos,-0.003934929424192662,0.015285720292626688,0.06622037259933897,0.1396782978129256,0.7276652386717086,-0.42450842367454783,-0.5093915890932739,-0.08009290544330588,0.015016839324238349,-0.0056010462893427366,0.0002353561110397702
g_terminal,0.14535998632848768,0.0168485143067937,0.05262894124539358,-0.05298745536751766,0.6668733970179223,0.5101317947110936,0.5166540865637644,0.010838516982488618,-0.026511467518901422,0.0045366346471013815,-0.016798596803596473
c_pearson_r,-0.4506271322853768,-0.051117871937042106,0.019667997164441384,0.2063622475657062,0.027477325870241796,-0.4173425467249988,0.5314946472078724,-0.5325993859553588,-0.012950914136373228,-0.0038045270946555757,-0.10044536926180217
g_pearson_r_o,0.029433636474150787,0.27121113813853004,-0.1760496036498015,-0.5108299757139726,0.0918368873340502,-0.5209795955149669,0.3320415700769636,0.4924993449650141,-0.02719205228877624,0.0017529542443939275,-0.015297389835307209
g_pearson_r_c,0.16264352551629582,0.2105873267975449,-0.22326920880356724,-0.6385891535326645,0.0009014900045019765,0.08906313496215613,-0.1671375987705775,-0.6575077653338897,0.04556656725805879,-0.011174426287085346,0.03419271626171294
