g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o
None-gene-3956,contig_291,22,8792,0.0839,370.2273,0.2751,0.0685,0.2749,0.4769,1.1309,459,0.3919,0.0448,0.1001,0,0,-0.0211,0.7374,0.2306,0.0002,0.4989,0.6098,-0.104
None-gene-4348,contig_291,22,8792,0.0839,370.2273,0.2751,0.0685,0.2749,0.4769,1.1309,96,0.0382,-0.743,0.0109,0,0,0.0902,0.2382,-0.0028,0.9708,0.4271,0.217,-0.845
None-gene-4475,contig_291,22,8792,0.0839,370.2273,0.2751,0.0685,0.2749,0.4769,1.1309,271,0.2087,-0.3632,0.0792,0,0,-0.0226,0.7385,0.2281,0.0007,0.5351,0.8074,0.2689
None-gene-4810,contig_291,22,8792,0.0839,370.2273,0.2751,0.0685,0.2749,0.4769,1.1309,207,0.1464,-0.5021,0.1408,0,0,0.0573,0.3679,0.157,0.0131,0.5072,0.6553,-0.018
None-gene-5355,contig_291,22,8792,0.0839,370.2273,0.2751,0.0685,0.2749,0.4769,1.1309,984,0.9035,1.1842,0.4416,0,0,0.1048,0.0943,0.3255,0.0,0.4898,0.5602,-0.1976
None-gene-5470,contig_291,22,8792,0.0839,370.2273,0.2751,0.0685,0.2749,0.4769,1.1309,321,0.2574,-0.2547,0.317,0,0,0.0245,0.7098,0.1789,0.0061,0.5639,0.9649,0.5661
None-gene-6456,contig_291,22,8792,0.0839,370.2273,0.2751,0.0685,0.2749,0.4769,1.1309,153,0.0937,-0.6193,0.5031,0,0,-0.0626,0.4185,0.1189,0.1237,0.4837,0.5264,-0.2613
None-gene-6853,contig_291,22,8792,0.0839,370.2273,0.2751,0.0685,0.2749,0.4769,1.1309,102,0.044,-0.73,0.5818,0,0,0.0628,0.4628,-0.0736,0.3895,0.451,0.3477,-0.5985
None-gene-7115,contig_291,22,8792,0.0839,370.2273,0.2751,0.0685,0.2749,0.4769,1.1309,612,0.541,0.3769,0.7575,0,0,-0.0114,0.8559,0.3247,0.0,0.4559,0.3745,-0.5479
None-gene-7992,contig_291,22,8792,0.0839,370.2273,0.2751,0.0685,0.2749,0.4769,1.1309,754,0.6794,0.685,0.9893,1,0,0.0241,0.7011,0.3931,0.0,0.4151,0.1516,-0.9685
