,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6
g_len,0.4997774934497346,0.010375283767234938,-0.0028092140780532357,0.5001049995763717,0.7071081305167058,1.4995928682598747e-13
g_lendev_c,0.4997765517259617,0.010386024844445086,-0.0028053598099518576,0.5001095551019763,-0.7071054318026962,-1.5049217283018907e-13
g_abspos,-0.029585430507835735,0.6970858998655921,-0.7162913357869888,0.011075774247946781,3.397642357828856e-06,-1.0763709704083606e-16
g_terminal,-0.010049486623879323,0.7164120885251576,0.6976043979090002,-0.000911700429746817,7.34620482927429e-06,2.9909295390970465e-16
g_pearson_r_o,0.4997347123756117,0.01745639708359485,-0.011381225046393691,-0.4998309305763079,-1.841285009518412e-06,-0.7071067811865472
g_pearson_r_c,0.4997347123756116,0.01745639708359457,-0.011381225046393969,-0.49983093057630723,-1.8412853099447624e-06,0.7071067811865478
