,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11
c_num_of_genes,0.16238677110177907,0.4618500962168141,-0.3093887741147412,0.34715077693967133,0.17870325870388803,0.011091484995452965,0.11886774572637804,0.043563110595160215,-0.00969080911295382,-0.0007594933708515096,0.7042089887360031
c_len,0.16516042508088757,0.46614346624108516,-0.3012030909216761,0.34092206168937456,0.17497730435303263,0.010472210672715383,0.1050133511020467,0.052352659918979236,-0.00915517833096998,-0.0023296796492354582,-0.7098567284302515
c_genelenm,0.20540324425070933,0.26126469868664004,0.64142508633665,-0.10432440326634648,0.15747720116534278,0.025974204345684013,0.1608300674652834,0.6227257968026523,-0.06771467552738045,-0.15321003784239398,0.007381884075943507
c_genelensd,0.20431011353781064,0.3912002279072945,0.46188928082301844,-0.14175230352150264,0.010782306025897932,0.086490795521624,0.07406847163807559,-0.7445671965037366,0.062325782966804896,0.02088502285458105,-0.0005329756975605282
g_len,0.47390347166001234,-0.16203463103711402,-0.03693133527897584,-0.03558924235334743,-0.08398973062118677,0.4836579232043646,0.03399813971497905,0.10160415748968879,-0.06159709902041208,0.7001978328439329,-0.00011232970463433134
g_lendev_c,0.4450196952957001,-0.2148975661565828,-0.16095282644537018,-0.01478095646960271,-0.1177983970718408,0.47908336135747115,0.0021325988006928604,-0.0481575508038389,0.059180029122307354,-0.6931297926050044,-7.37636652959783e-05
g_abspos,0.01596015786393397,-0.027185124934694223,0.22892702203529966,0.5670195788582263,-0.7613614929045757,-0.11638278776704274,0.17765109739059193,0.017464745779288002,0.0014954295068546693,0.0018373511375012876,-0.0008000203691477057
g_terminal,-0.027570617656658213,-0.22239117694381216,0.3136957454259631,0.5882296588820299,0.3819746948333888,0.14055741753056714,-0.5758852833804623,-0.08057442160403137,-0.03946002465143545,-0.0014478459503178864,0.002555625642992762
c_pearson_r,0.13520736695643074,0.39279911049095184,-0.09295450553707883,-0.2474652697708252,-0.38677675401296674,-0.06801627091427051,-0.759730799762039,0.14907135090750467,0.06141307285800483,0.003156870429513483,0.011448545965220769
g_pearson_r_o,0.464066868938666,-0.1692995566120722,-0.04530264802299558,-0.0294583731404783,0.04329842196563037,-0.5048907595632613,-0.043670072494083556,-0.10583627438415047,-0.6935251121398387,-0.046739329278994005,-7.002982299914723e-05
g_pearson_r_c,0.452922144678707,-0.20620708800541615,0.0034967627516591703,0.03411639664173941,0.12064419968183773,-0.4851019561310731,0.005296148208990537,0.018175047847799504,0.7055126047267132,0.05637888365153217,0.0002925528290107141
