,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11
c_num_of_genes,-0.4670546683549671,-0.035419385920866374,0.03514737730685297,-0.08230072285057609,-0.05077304122103586,0.47858826214280076,0.10282313775166788,0.17341944315160235,0.0452905326702018,-0.0018126547886767454,-0.7058828595403063
c_len,-0.467662298393151,-0.034059454466208394,0.03856578132191729,-0.08764689971176542,-0.05093536000900079,0.47254067463008187,0.11145995534570195,0.16945728788843775,0.047876963184934736,0.00018719229810248224,0.708267037858608
c_genelenm,-0.37865866790663194,0.04951133426689326,0.2670625525168646,-0.3160701428054633,0.005814350340834279,-0.40808110085671734,0.5486033357043001,-0.44399044346049493,-0.0027223618344800636,0.13492746560789884,-0.008575620247033455
c_genelensd,-0.4183488208517227,-0.04330606038099327,0.11854389651244888,0.07366415052386731,0.10832910590370026,-0.5820266941964802,-0.2322541240132318,0.618426355473376,0.12936613798473268,-0.003270782686148658,0.00029642640651850183
g_len,-0.10617314605306416,0.5045639737781938,-0.020681820122028537,0.3437413377934803,0.26681314682126384,-0.0043717316676905316,0.19805500386602873,-0.07187579204893345,0.08711159585706896,-0.7016892753226783,0.00025258985820389435
g_lendev_c,-0.039427900302744866,0.5039240187853332,-0.07245042167919061,0.4062559477560719,0.2694167705715892,0.06960856136325375,0.10659552248617418,0.03972231072342612,-0.017121130338903476,0.6953766710023799,4.6241217032027475e-05
g_abspos,0.061014518738436746,-0.016998831622463902,0.673360688321298,0.49420759897430877,-0.544381295218089,0.035435008830366696,0.02188367995840459,-0.01277820997693289,0.008885423893609287,0.0021688266905443726,0.0001834836589887992
g_terminal,0.14950173026143027,0.044772423284570026,0.6661765165937276,-0.27545436858506095,0.5904349740529801,0.18253031566348296,-0.270624030547817,-0.019569302231865406,-0.02062119596983691,0.0014312025362441434,-0.00014847104245478693
c_pearson_r,-0.43921670011074204,-0.0914824502980136,-0.07708576876132682,0.23649319059638518,0.051756891588519066,-0.04686711955697952,-0.5371835218936639,-0.4742983250865417,-0.4668416892935177,-0.022221212962638674,0.0036223504675407803
g_pearson_r_o,-0.08621841265699606,0.4767576909634161,-0.020279478414068946,-0.3007604072371654,-0.3271273211971115,-0.007876835440439517,-0.4573939203092669,-0.2226407834627426,0.5534612466616459,0.04720481208057294,-0.0005640684040203597
g_pearson_r_c,0.0742160985920252,0.4967634733589426,0.05163562635906245,-0.3612668757747021,-0.2909098153714991,-0.026025703709767218,-0.0040616217568701755,0.2825123040814763,-0.6680324041534691,-0.05599265872134753,3.6236620497356875e-05
