0	20266+638	0	501168	1	UniRef100_A0AAJ0M6A8|OZ247435.1|+|247|1.591e-63|4|20266|20903|20266[20266]:20454[20454]:189[189]|20513[20516]:20611[20611]:99[96]|20673[20673]:20735[20735]:63[63]|20799[20799]:20903[20903]:105[105]
0	33867+1080	0	53352199	1	UniRef100_UPI00187D94CC|OZ247435.1|+|709|1.336e-202|1|33867|34946|33867[33867]:34946[34946]:1080[1080]
0	29657+4324	0	117239531	1	UniRef100_A0A8B7DY83|OZ247435.1|+|205|6.998e-51|2|29657|33980|29657[29657]:29929[29929]:273[273]|33708[33708]:33980[33980]:273[273]
0	20090+814	0	160857451	1	UniRef100_A0A9Q0N4I5|OZ247435.1|+|356|2.451e-96|5|20090|20903|20090[20090]:20209[20209]:120[120]|20263[20263]:20463[20463]:201[201]|20513[20525]:20611[20611]:99[87]|20673[20673]:20735[20735]:63[63]|20799[20799]:20903[20903]:105[105]
0	15900-1737	0	261228062	-1	UniRef100_UPI00187DA13B|OZ247435.1|-|396|2.23e-108|1|14164|15900|15900[15900]:14164[14164]:1737[1737]
0	3076+147	0	276296858	1	UniRef100_P83417|OZ247435.1|+|59|6.242e-07|1|3076|3222|3076[3076]:3222[3222]:147[147]
0	1657-141	0	305380016	-1	UniRef100_P83418|OZ247435.1|-|58|1.248e-06|1|1517|1657|1657[1657]:1517[1517]:141[141]
0	24851-1184	0	314988269	-1	UniRef100_UPI00187D7D38|OZ247435.1|-|662|1.88e-188|3|23668|24851|24851[24851]:24561[24561]:291[291]|24484[24481]:24068[24068]:417[414]|24036[24009]:23668[23668]:369[342]
0	19703+11176	0	348401258	1	UniRef100_UPI00187D6EA4|OZ247435.1|+|460|1.209e-127|6|19703|30878|19703[19703]:20032[20032]:330[330]|20090[20093]:20209[20209]:120[117]|30236[30236]:30433[30433]:198[198]|30482[30494]:30580[30580]:99[87]|30639[30639]:30704[30704]:66[66]|30771[30771]:30878[30878]:108[108]
0	20522+382	0	407957778	1	UniRef100_A0A816BJJ0|OZ247435.1|+|100|2.839e-19|2|20522|20903|20522[20522]:20611[20611]:90[90]|20799[20799]:20903[20903]:105[105]
