0	41708-1203	0	6025322	-1	UniRef100_A0AAW3WSY2|JAFDOW010000488.1|-|741|3.111e-212|1|40506|41708|41708[41708]:40506[40506]:1203[1203]
0	24640+780	0	14464201	1	UniRef100_UPI00398980D4|JAFDOW010000488.1|+|511|5.368e-143|1|24640|25419|24640[24640]:25419[25419]:780[780]
0	27726-201	0	16117208	-1	UniRef100_A0A7S4QZV6|JAFDOW010000488.1|-|52|7.99e-05|1|27526|27726|27726[27726]:27526[27526]:201[201]
0	29363-414	0	19952226	-1	UniRef100_A0A655D058|JAFDOW010000488.1|-|107|2.218e-21|1|28950|29363|29363[29363]:28950[28950]:414[414]
0	25728+837	0	19998619	1	UniRef100_A0AB38E4P4|JAFDOW010000488.1|+|189|4.586e-46|2|25728|26564|25728[25728]:26039[26039]:312[312]|26121[26121]:26564[26564]:444[444]
0	11833-622	0	24181593	-1	UniRef100_UPI003988EF47|JAFDOW010000488.1|-|267|1.517e-69|2|11212|11833|11833[11833]:11525[11525]:309[309]|11514[11514]:11212[11212]:303[303]
0	2248+927	0	25766635	1	UniRef100_UPI001CBC91C4|JAFDOW010000488.1|+|582|2.273e-164|1|2248|3174|2248[2248]:3174[3174]:927[927]
0	32407+601	0	35125832	1	UniRef100_A0A4U9VXU2|JAFDOW010000488.1|+|410|1.361e-112|2|32407|33007|32407[32407]:32943[32943]:537[537]|32960[32960]:33007[33007]:48[48]
0	24363-798	0	35396003	-1	UniRef100_A0A644ZFT4|JAFDOW010000488.1|-|58|1.248e-06|2|23566|24363|24363[24363]:23941[23941]:423[423]|23856[23856]:23566[23566]:291[291]
0	18120-111	0	44470588	-1	UniRef100_A0A1Y3B6Z5|JAFDOW010000488.1|-|63|3.901e-08|1|18010|18120|18120[18120]:18010[18010]:111[111]
0	36800+387	0	45376642	1	UniRef100_A0A699WTK0|JAFDOW010000488.1|+|81|1.488e-13|2|36800|37186|36800[36800]:36973[36973]:174[174]|37016[37016]:37186[37186]:171[171]
0	17087+339	0	46005027	1	UniRef100_A0A0F7HC88|JAFDOW010000488.1|+|207|1.749e-51|2|17087|17425|17087[17087]:17140[17140]:54[54]|17168[17168]:17425[17425]:258[258]
0	17765+633	0	46011671	1	UniRef100_A0A0F7HCG6|JAFDOW010000488.1|+|419|2.658e-115|1|17765|18397|17765[17765]:18397[18397]:633[633]
0	17299-213	0	46865675	-1	UniRef100_A0A2N3J5U4|JAFDOW010000488.1|-|57|2.497e-06|1|17087|17299|17299[17299]:17087[17087]:213[213]
0	40585-195	0	47260461	-1	UniRef100_A0A447KMZ5|JAFDOW010000488.1|-|101|1.419e-19|1|40391|40585|40585[40585]:40391[40391]:195[195]
0	15784+174	0	56567596	1	UniRef100_UPI002AB1D2AD|JAFDOW010000488.1|+|103|3.548e-20|1|15784|15957|15784[15784]:15957[15957]:174[174]
0	36094+267	0	60350331	1	UniRef100_A0AAD2QEK0|JAFDOW010000488.1|+|79|5.953e-13|1|36094|36360|36094[36094]:36360[36360]:267[267]
0	23452+1152	0	70406976	1	UniRef100_UPI0015C62658|JAFDOW010000488.1|+|764|3.708e-219|1|23452|24603|23452[23452]:24603[24603]:1152[1152]
0	26951+792	0	86088672	1	UniRef100_UPI00192B19A1|JAFDOW010000488.1|+|528|4.095e-148|1|26951|27742|26951[26951]:27742[27742]:792[792]
0	16545-306	0	94368765	-1	UniRef100_UPI0034C6A78F|JAFDOW010000488.1|-|190|2.293e-46|1|16240|16545|16545[16545]:16240[16240]:306[306]
0	13721+1484	0	96250455	1	UniRef100_UPI0015751A70|JAFDOW010000488.1|+|578|3.637e-163|3|13721|15204|13721[13721]:14461[14461]:741[741]|14894[14894]:15019[15019]:126[126]|15043[15043]:15204[15204]:162[162]
0	35279+93	0	98094190	1	UniRef100_UPI00217A04B7|JAFDOW010000488.1|+|55|9.988e-06|1|35279|35371|35279[35279]:35371[35371]:93[93]
0	13373-1168	0	98220549	-1	UniRef100_UPI003204C384|JAFDOW010000488.1|-|648|3.081e-184|2|12206|13373|13373[13373]:12537[12537]:837[837]|12511[12511]:12206[12206]:306[306]
0	15337+621	0	100575411	1	UniRef100_UPI0034C67476|JAFDOW010000488.1|+|376|2.338e-102|2|15337|15957|15337[15337]:15735[15735]:399[399]|15775[15775]:15957[15957]:183[183]
0	25422-327	0	105437225	-1	UniRef100_A0A3S4HWE4|JAFDOW010000488.1|-|108|1.109e-21|2|25096|25422|25422[25422]:25321[25321]:102[102]|25293[25293]:25096[25096]:198[198]
0	266-174	0	122359181	-1	UniRef100_A0AAW3WSI9|JAFDOW010000488.1|-|107|2.218e-21|1|93|266|266[266]:93[93]:174[174]
0	41931-102	0	122363844	-1	UniRef100_A0A4U9VXK3|JAFDOW010000488.1|-|71|1.524e-10|1|41830|41931|41931[41931]:41830[41830]:102[102]
0	15627-246	0	148127930	-1	UniRef100_A0A1V5FSJ3|JAFDOW010000488.1|-|55|9.988e-06|1|15382|15627|15627[15627]:15382[15382]:246[246]
0	17113+257	0	148162372	1	UniRef100_A0A378F669|JAFDOW010000488.1|+|94|1.817e-17|2|17113|17369|17113[17113]:17190[17190]:78[78]|17250[17250]:17369[17369]:120[120]
0	30861-1230	0	150828930	-1	UniRef100_A0A655D9J2|JAFDOW010000488.1|-|356|2.451e-96|4|29632|30861|30861[30861]:30718[30718]:144[144]|30708[30708]:30634[30634]:75[75]|30606[30606]:29857[29857]:750[750]|29829[29829]:29632[29632]:198[198]
0	19898-921	0	169753197	-1	UniRef100_UPI0009C14626|JAFDOW010000488.1|-|600|8.672e-170|1|18978|19898|19898[19898]:18978[18978]:921[921]
0	36377-918	0	172315652	-1	UniRef100_UPI001CBCFC20|JAFDOW010000488.1|-|576|1.455e-162|1|35460|36377|36377[36377]:35460[35460]:918[918]
0	23311-924	0	172416649	-1	UniRef100_UPI000469A8D7|JAFDOW010000488.1|-|607|6.775e-172|1|22388|23311|23311[23311]:22388[22388]:924[924]
0	11987+135	0	188701223	1	UniRef100_UPI00074532C4|JAFDOW010000488.1|+|82|7.441e-14|1|11987|12121|11987[11987]:12121[12121]:135[135]
0	24956-324	0	205911096	-1	UniRef100_A0A090DX26|JAFDOW010000488.1|-|64|1.951e-08|1|24633|24956|24956[24956]:24633[24633]:324[324]
0	28829-804	0	206610363	-1	UniRef100_G9ZEC2|JAFDOW010000488.1|-|168|9.618e-40|2|28026|28829|28829[28829]:28326[28326]:504[504]|28319[28319]:28026[28026]:294[294]
0	21947+330	0	208121967	1	UniRef100_A0A376FM98|JAFDOW010000488.1|+|97|2.271e-18|1|21947|22276|21947[21947]:22276[22276]:330[330]
0	26751+201	0	208656032	1	UniRef100_A0A1C7W503|JAFDOW010000488.1|+|135|8.261e-30|1|26751|26951|26751[26751]:26951[26951]:201[201]
0	33980+180	0	209623832	1	UniRef100_A0A4U9W209|JAFDOW010000488.1|+|108|1.109e-21|1|33980|34159|33980[33980]:34159[34159]:180[180]
0	11854-342	0	224162923	-1	UniRef100_A0A448SGT2|JAFDOW010000488.1|-|228|8.342e-58|1|11513|11854|11854[11854]:11513[11513]:342[342]
0	27777+1707	0	225669195	1	UniRef100_UPI00056CDDB3|JAFDOW010000488.1|+|1148|0|1|27777|29483|27777[27777]:29483[29483]:1707[1707]
0	18397+303	0	226089504	1	UniRef100_UPI0003AC7546|JAFDOW010000488.1|+|194|1.433e-47|1|18397|18699|18397[18397]:18699[18699]:303[303]
0	17351-225	0	235262116	-1	UniRef100_B7VTY4|JAFDOW010000488.1|-|49|0.0006392|1|17127|17351|17351[17351]:17127[17127]:225[225]
0	38743-1101	0	241524594	-1	UniRef100_UPI00217A2E14|JAFDOW010000488.1|-|750|6.076e-215|1|37643|38743|38743[38743]:37643[37643]:1101[1101]
0	38786+135	0	243748119	1	UniRef100_UPI003BA0492A|JAFDOW010000488.1|+|66|4.877e-09|1|38786|38920|38786[38786]:38920[38920]:135[135]
0	1351-909	0	260613612	-1	UniRef100_UPI0003AE848C|JAFDOW010000488.1|-|581|4.547e-164|1|443|1351|1351[1351]:443[443]:909[909]
0	20144+396	0	263303577	1	UniRef100_B9TFV0|JAFDOW010000488.1|+|83|3.721e-14|1|20144|20539|20144[20144]:20539[20539]:396[396]
0	36611+174	0	267161633	1	UniRef100_A0A655C475|JAFDOW010000488.1|+|59|6.242e-07|1|36611|36784|36611[36611]:36784[36784]:174[174]
0	33028+831	0	269226277	1	UniRef100_UPI0015C617E3|JAFDOW010000488.1|+|545|3.124e-153|1|33028|33858|33028[33028]:33858[33858]:831[831]
0	34041+750	0	272113499	1	UniRef100_UPI00398A01A3|JAFDOW010000488.1|+|454|7.736e-126|1|34041|34790|34041[34041]:34790[34790]:750[750]
0	29707+1368	0	275719057	1	UniRef100_UPI003AAB5814|JAFDOW010000488.1|+|901|2.129e-260|1|29707|31074|29707[29707]:31074[31074]:1368[1368]
0	828+444	0	277266425	1	UniRef100_A0A0J7MQC9|JAFDOW010000488.1|+|216|3.417e-54|3|828|1271|828[828]:1064[1064]:237[237]|1071[1071]:1154[1154]:84[84]|1167[1167]:1271[1271]:105[105]
0	3002-372	0	282599172	-1	UniRef100_A0A6J7HBY7|JAFDOW010000488.1|-|55|9.988e-06|1|2631|3002|3002[3002]:2631[2631]:372[372]
0	15043+162	0	289358753	1	UniRef100_A0A4U9TNC6|JAFDOW010000488.1|+|108|1.109e-21|1|15043|15204|15043[15043]:15204[15204]:162[162]
0	32014+390	0	307758304	1	UniRef100_A0A1Q5VKP9|JAFDOW010000488.1|+|255|6.215e-66|1|32014|32403|32014[32014]:32403[32403]:390[390]
0	25840+441	0	326225035	1	UniRef100_A0A6J6CDM1|JAFDOW010000488.1|+|82|7.441e-14|2|25840|26280|25840[25840]:26061[26061]:222[222]|26125[26125]:26280[26280]:156[156]
0	31730-588	0	326930786	-1	UniRef100_UPI000EF447F7|JAFDOW010000488.1|-|391|7.135e-107|1|31143|31730|31730[31730]:31143[31143]:588[588]
0	14891-228	0	338201513	-1	UniRef100_A0A484Y3S1|JAFDOW010000488.1|-|69|6.096e-10|1|14664|14891|14891[14891]:14664[14664]:228[228]
0	13168+207	0	339224281	1	UniRef100_A0A0C6FEU1|JAFDOW010000488.1|+|53|3.995e-05|1|13168|13374|13168[13168]:13374[13374]:207[207]
0	40388-621	0	355026374	-1	UniRef100_A0A0F7D2C9|JAFDOW010000488.1|-|392|3.567e-107|1|39768|40388|40388[40388]:39768[39768]:621[621]
0	22288-2295	0	384100280	-1	UniRef100_A0AAP2B7D0|JAFDOW010000488.1|-|1536|0|1|19994|22288|22288[22288]:19994[19994]:2295[2295]
0	2144-651	0	398656493	-1	UniRef100_A0A0F7HD94|JAFDOW010000488.1|-|432|3.245e-119|1|1494|2144|2144[2144]:1494[1494]:651[651]
0	39655-682	0	418457853	-1	UniRef100_UPI00119E1EAC|JAFDOW010000488.1|-|367|1.197e-99|2|38974|39655|39655[39655]:39458[39458]:198[198]|39450[39450]:38974[38974]:477[477]
0	26579-1104	0	436246148	-1	UniRef100_UPI003AAA4CE6|JAFDOW010000488.1|-|720|6.524e-206|1|25476|26579|26579[26579]:25476[25476]:1104[1104]
0	15207-246	0	440899581	-1	UniRef100_A0A2X1K6W0|JAFDOW010000488.1|-|63|3.901e-08|1|14962|15207|15207[15207]:14962[14962]:246[246]
0	37480-924	0	449578441	-1	UniRef100_UPI0004677245|JAFDOW010000488.1|-|594|5.55e-168|1|36557|37480|37480[37480]:36557[36557]:924[924]
0	21327+240	0	456582681	1	UniRef100_A0A109LG61|JAFDOW010000488.1|+|97|2.271e-18|1|21327|21566|21327[21327]:21566[21566]:240[240]
